지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
133,대전,2016-02-15,-3.3,-6.7,742,.8,1616
133,대전,2016-02-16,-.2,-3.7,412,4.4,1446
133,대전,2016-02-17,.9,-4.3,728,6.8,1530
133,대전,2016-02-18,3.8,-3.5,732,9.8,1440
133,대전,2016-02-19,3.5,0,716,6.3,29
133,대전,2016-02-20,2.5,-1,732,8.9,1433
133,대전,2016-02-21,.4,-3.7,406,5.8,1527
133,대전,2016-02-22,2.9,-1.4,709,7,1524
133,대전,2016-02-23,2.5,-2.7,2350,8.1,1313
133,대전,2016-02-24,-1.7,-6.5,717,4.1,1359
133,대전,2016-02-25,.5,-5.7,716,6.1,1527
133,대전,2016-02-26,2.5,-.1,222,5.9,1538
133,대전,2016-02-27,5.4,1.5,719,11.3,1431
133,대전,2016-02-28,2.2,-.9,2307,5.7,1221
133,대전,2016-02-29,-2.7,-5.5,2359,.3,1350
133,대전,2016-03-01,-1.4,-7.5,655,4.9,1505
133,대전,2016-03-02,3,-4.3,542,10.2,1455
133,대전,2016-03-03,7.4,-.2,613,17,1602
133,대전,2016-03-04,9.8,5.4,100,13,1450
133,대전,2016-03-05,12.2,7.7,614,18,1431
133,대전,2016-03-06,10.3,6.5,2358,14.7,1421
133,대전,2016-03-07,9,3.4,649,16.3,1323
133,대전,2016-03-08,5,1.7,2335,7.8,1236
133,대전,2016-03-09,2.2,-1.1,705,8.4,1518
133,대전,2016-03-10,.3,-3.1,558,5.6,1313
133,대전,2016-03-11,.6,-4.3,652,6.4,1522
133,대전,2016-03-12,2.8,-5,657,10.2,1418
133,대전,2016-03-13,4.1,.8,555,9.2,1640
133,대전,2016-03-14,4.4,.3,430,10.2,1617
133,대전,2016-03-15,6,-2.7,656,14,1523
133,대전,2016-03-16,9.2,3.5,658,17.1,1539
133,대전,2016-03-17,10.1,-.5,625,18.9,1454
133,대전,2016-03-18,11,8.4,2359,13.9,1705
133,대전,2016-03-19,11,6.8,716,18.2,1614
133,대전,2016-03-20,9.7,3,644,17.5,1545
133,대전,2016-03-21,9.5,2.3,630,17.4,1449
133,대전,2016-03-22,9.4,1.5,628,17.6,1531
133,대전,2016-03-23,8.3,4.6,637,14.5,1336
133,대전,2016-03-24,6.9,1.6,528,13.3,1510
133,대전,2016-03-25,6.8,1.2,639,13.3,1438
133,대전,2016-03-26,6.4,-.2,638,12.9,1358
133,대전,2016-03-27,7.2,-.3,649,15.1,1437
133,대전,2016-03-28,9.4,-.3,649,17.9,1520
133,대전,2016-03-29,12.9,6.5,543,18.3,1459
133,대전,2016-03-30,14.4,7.6,705,22.9,1406
133,대전,2016-03-31,13.1,5.1,626,21.7,1514
133,대전,2016-04-01,15,4.8,641,25.4,1531
133,대전,2016-04-02,16,6.9,603,24.6,1531
133,대전,2016-04-03,13.4,10.8,645,16.4,1136
133,대전,2016-04-04,13.5,10.1,517,18.3,1446
133,대전,2016-04-05,13,5.6,638,20.8,1623
133,대전,2016-04-06,13.9,5.5,600,23.7,1526
133,대전,2016-04-07,13.2,9.1,421,18.6,1613
133,대전,2016-04-08,14,8.3,523,21.8,1505
133,대전,2016-04-09,15.9,9.8,555,23.3,1546
133,대전,2016-04-10,16.6,10.7,553,24.6,1524
133,대전,2016-04-11,13.2,8.4,612,19,1604
133,대전,2016-04-12,14.8,7.5,609,22.1,1602
133,대전,2016-04-13,14.4,11.9,236,19,1650
133,대전,2016-04-14,15.4,10.5,2359,21.3,1516
133,대전,2016-04-15,15.6,6.7,551,24.8,1640
133,대전,2016-04-16,14.8,9,607,20.5,1332
133,대전,2016-04-17,12.2,9.9,405,16.8,114
133,대전,2016-04-18,12.3,8.4,556,18.3,1314
133,대전,2016-04-19,12.8,6.4,512,19.3,1723
133,대전,2016-04-20,13.1,7.1,612,18,1351
133,대전,2016-04-21,13.7,10.8,524,16.6,1642
133,대전,2016-04-22,17.4,12.6,537,24.5,1602
133,대전,2016-04-23,15.4,11.3,559,22.2,1519
133,대전,2016-04-24,15.4,7,537,24,1717
133,대전,2016-04-25,17.7,8.9,614,26.6,1610
133,대전,2016-04-26,19.9,9.6,608,29.2,1515
133,대전,2016-04-27,13.3,11.5,2400,19.4,1
133,대전,2016-04-28,14.3,9.8,510,20.5,1520
133,대전,2016-04-29,15.1,8.5,604,22.1,1600
133,대전,2016-04-30,17.2,9.5,620,24,1415
133,대전,2016-05-01,19.5,11.2,604,27.6,1524
133,대전,2016-05-02,19.8,12.1,555,29,1428
133,대전,2016-05-03,14.3,10.6,2049,18.5,836
133,대전,2016-05-04,17.1,12.5,22,23,1343
133,대전,2016-05-05,19.6,9.2,551,27.9,1532
133,대전,2016-05-06,20.5,14.5,2358,26.2,1323
133,대전,2016-05-07,17.1,11.3,600,24.6,1532
133,대전,2016-05-08,19.1,9.8,539,27.5,1546
133,대전,2016-05-09,20,14.6,613,26.6,1438
133,대전,2016-05-10,14.1,12.5,2023,17.7,1
133,대전,2016-05-11,17,11.9,559,23.3,1543
133,대전,2016-05-12,18.8,11.7,555,25.7,1502
133,대전,2016-05-13,17.6,14.1,543,22.5,1637
133,대전,2016-05-14,20.3,13.5,556,26.5,1546
133,대전,2016-05-15,19.7,14.2,2358,26.2,1349
133,대전,2016-05-16,15.9,10,435,22.2,1509
133,대전,2016-05-17,19.1,10.7,608,27,1630
133,대전,2016-05-18,21.5,12,555,29.8,1458
133,대전,2016-05-19,23.3,14.6,524,31.3,1500
133,대전,2016-05-20,22.7,14.5,555,30.1,1455
133,대전,2016-05-21,23.1,16.3,553,29.4,1522
133,대전,2016-05-22,22.6,13.7,538,30.3,1533
133,대전,2016-05-23,23.1,15,524,30.4,1630
133,대전,2016-05-24,18.3,15.5,2350,21.9,1
133,대전,2016-05-25,19.5,12.4,529,25.5,1447
133,대전,2016-05-26,21,15.6,532,26.4,1356
133,대전,2016-05-27,22.9,17.9,514,29.1,1428
133,대전,2016-05-28,22,18.2,609,28,1543
133,대전,2016-05-29,21.1,17.5,142,26.9,1640
133,대전,2016-05-30,22,14.4,503,29.4,1646
133,대전,2016-05-31,22,16.2,513,27.9,1525
133,대전,2016-06-01,22.9,18.5,531,28.4,1510
133,대전,2016-06-02,22.5,15.1,542,29.3,1502
133,대전,2016-06-03,22.7,17.1,546,29,1537
133,대전,2016-06-04,19.9,17.1,2355,22,1414
133,대전,2016-06-05,22.9,14.6,514,30.3,1558
133,대전,2016-06-06,20.8,18.4,544,24.5,1355
133,대전,2016-06-07,21.9,18.4,513,26.7,1545
133,대전,2016-06-08,22.4,19.1,418,27.1,1544
133,대전,2016-06-09,24,17.5,554,30.2,1623
133,대전,2016-06-10,25.3,19.6,529,31.2,1533
133,대전,2016-06-11,25.6,20.9,537,29.8,1518
133,대전,2016-06-12,24.9,23.1,519,27.4,1633
133,대전,2016-06-13,24.6,20.8,524,29.6,1507
133,대전,2016-06-14,24.2,19.4,450,30.3,1548
133,대전,2016-06-15,22.3,20.3,536,26.1,1444
133,대전,2016-06-16,21.7,19.1,2349,25.8,1650
133,대전,2016-06-17,23.3,16.4,529,29.3,1517
133,대전,2016-06-18,25.1,18.5,536,31,1415
133,대전,2016-06-19,25.7,21.7,451,30.1,1401
133,대전,2016-06-20,24.2,20,441,29.5,1540
133,대전,2016-06-21,26.1,19.7,536,32,1441
133,대전,2016-06-22,25.4,23.2,2359,31.1,1419
133,대전,2016-06-23,26.2,20.9,527,31.7,1545
133,대전,2016-06-24,22.2,19.4,2400,24.8,1631
133,대전,2016-06-25,22.9,18.8,110,27.7,1655
133,대전,2016-06-26,23.9,18.7,454,30,1516
133,대전,2016-06-27,23.3,18.8,509,28.3,1526
133,대전,2016-06-28,24,18,529,30.1,1548
133,대전,2016-06-29,24.8,21.2,540,28.2,1612
133,대전,2016-06-30,25.5,23.1,112,29.2,1646
133,대전,2016-07-01,25,23.3,2317,29.8,1103
133,대전,2016-07-02,24.5,22.2,655,28,1507
133,대전,2016-07-03,22.7,20.4,2155,24.4,948
133,대전,2016-07-04,22.1,20,442,24.6,1402
133,대전,2016-07-05,25.8,22.1,1,30.4,1337
133,대전,2016-07-06,24.3,22.8,1006,27.1,1455
133,대전,2016-07-07,25.7,22.6,2310,30.3,1623
133,대전,2016-07-08,26.9,21.6,546,32.6,1520
133,대전,2016-07-09,27.5,22.7,531,33.1,1442
133,대전,2016-07-10,27.2,22.2,520,32,1413
133,대전,2016-07-11,27.1,23.9,525,32.9,1347
133,대전,2016-07-12,25.7,23.2,523,28.4,1212
133,대전,2016-07-13,26.3,23.1,518,30.4,1409
133,대전,2016-07-14,26.1,22.1,338,31,1450
133,대전,2016-07-15,25.9,22.7,543,30,1331
133,대전,2016-07-16,22.1,20.3,526,24.5,1616
133,대전,2016-07-17,23.3,21.1,536,26.4,1543
133,대전,2016-07-18,24.3,20.9,533,28.9,1618
133,대전,2016-07-19,26.7,20.3,539,32.4,1457
133,대전,2016-07-20,27.3,23.8,539,31.8,1502
133,대전,2016-07-21,27,22.2,539,31.6,1528
133,대전,2016-07-22,28.4,23.6,647,33.2,1616
133,대전,2016-07-23,29.5,24.8,548,33.6,1539
133,대전,2016-07-24,29.6,26.4,549,32.9,1459
133,대전,2016-07-25,29.2,26.9,532,32.5,1620
133,대전,2016-07-26,29,24.2,527,33.3,1502
133,대전,2016-07-27,28.7,25.9,607,31.8,1534
133,대전,2016-07-28,28.9,25.1,2355,32.3,1605
133,대전,2016-07-29,28.2,24.1,140,32.5,1206
133,대전,2016-07-30,29.1,26.3,432,34,1450
133,대전,2016-07-31,29.9,26.2,537,34.7,1506
133,대전,2016-08-01,28.7,25.3,522,32.9,1216
133,대전,2016-08-02,27.3,23.9,2349,30.3,1517
133,대전,2016-08-03,28.3,23.2,536,34,1506
133,대전,2016-08-04,29.9,24.5,546,35.5,1515
133,대전,2016-08-05,30.7,25.5,552,35.8,1534
133,대전,2016-08-06,29.6,25.6,2355,35.4,1235
133,대전,2016-08-07,28.8,24.3,539,34.9,1332
133,대전,2016-08-08,29.7,24.5,534,34.8,1622
133,대전,2016-08-09,28.4,25.4,2234,34.3,1506
133,대전,2016-08-10,29.3,25.2,544,34.6,1444
133,대전,2016-08-11,29.9,24.4,541,35.6,1613
133,대전,2016-08-12,30.3,24.9,546,36.5,1550
133,대전,2016-08-13,30.2,25.2,549,36,1537
133,대전,2016-08-14,29.9,26.1,559,35,1412
133,대전,2016-08-15,30,26.5,509,35.5,1404
133,대전,2016-08-16,29.9,26.1,609,35.5,1629
133,대전,2016-08-17,29.8,24.7,554,35.1,1424
133,대전,2016-08-18,29.7,25.3,556,34.8,1315
133,대전,2016-08-19,30.3,25,528,37.3,1527
133,대전,2016-08-20,31.2,26.2,604,37.6,1505
133,대전,2016-08-21,29.7,25.2,602,34.9,1337
133,대전,2016-08-22,30.3,24,607,36.7,1456
133,대전,2016-08-23,28.8,25.4,2400,33.4,1439
133,대전,2016-08-24,28.9,23.7,624,34.5,1501
133,대전,2016-08-25,28.5,23.8,556,33.9,1412
133,대전,2016-08-26,22,19.1,2331,27.4,1
133,대전,2016-08-27,22.6,18,533,27.9,1318
133,대전,2016-08-28,20,17.8,2400,24.5,1255
133,대전,2016-08-29,20.5,15.8,612,27.2,1519
133,대전,2016-08-30,19.6,16.6,435,22.6,1344
133,대전,2016-08-31,21.8,17.6,533,24.8,1539
133,대전,2016-09-01,26.6,22.9,109,31.5,1444
133,대전,2016-09-02,22.7,21.2,722,24.9,1010
133,대전,2016-09-03,25,20.8,42,30.3,1537
133,대전,2016-09-04,26.2,22.3,620,30.4,1346
133,대전,2016-09-05,26.2,24,2314,30.5,1333
133,대전,2016-09-06,24.4,21.5,535,28.1,1317
133,대전,2016-09-07,23.7,19.8,555,27.8,1436
133,대전,2016-09-08,23.3,19.7,616,28.9,1410
133,대전,2016-09-09,23.9,20.2,710,28.8,1506
133,대전,2016-09-10,23.2,19.1,533,28.7,1405
133,대전,2016-09-11,23.9,19.6,545,28.5,1458
133,대전,2016-09-12,23.5,21,518,27.8,1542
133,대전,2016-09-13,24.1,18.7,609,29.5,1614
133,대전,2016-09-14,24.2,20.5,351,29.1,1516
133,대전,2016-09-15,23.5,18.4,615,28.7,1406
133,대전,2016-09-16,22.4,20.7,636,25.4,1222
133,대전,2016-09-17,20.2,19.6,1019,21.3,1
133,대전,2016-09-18,19.1,18.1,1819,20.7,1333
133,대전,2016-09-19,20,17.4,637,23.6,1410
133,대전,2016-09-20,19.2,13.7,619,24.7,1458
133,대전,2016-09-21,19.1,12.8,613,23.6,1141
133,대전,2016-09-22,20.6,17.1,634,25.9,1319
133,대전,2016-09-23,20.8,15.4,642,27,1603
133,대전,2016-09-24,21.7,16.4,626,28.1,1431
133,대전,2016-09-25,20.8,17.2,609,24.7,1620
133,대전,2016-09-26,22.1,18.3,601,26.8,1612
133,대전,2016-09-27,22.4,20.3,2351,25.8,1508
133,대전,2016-09-28,21.8,18.1,629,26,1308
133,대전,2016-09-29,20.1,18,2344,22,1456
133,대전,2016-09-30,17.6,16.2,2356,18.5,1436
133,대전,2016-10-01,18.6,15.7,237,21.7,1513
133,대전,2016-10-02,20.7,17.6,650,23.4,1547
133,대전,2016-10-03,23.4,19.6,2359,26.8,1516
133,대전,2016-10-04,22.1,17.7,357,27.9,1424
133,대전,2016-10-05,19.6,17.7,749,24.3,1610
133,대전,2016-10-06,18.2,14.4,651,23.9,1443
133,대전,2016-10-07,18.5,14.2,240,24.3,1200
133,대전,2016-10-08,17.2,14.2,2356,21.8,1538
133,대전,2016-10-09,11.8,7.6,700,16.7,1431
133,대전,2016-10-10,12.7,8.4,659,18.5,1408
133,대전,2016-10-11,14.3,10.3,358,20.5,1439
133,대전,2016-10-12,14.9,11,317,21,1519
133,대전,2016-10-13,14.1,10.4,637,20.1,1537
133,대전,2016-10-14,15.2,8.6,619,22.9,1508
133,대전,2016-10-15,17.3,10.7,640,25.2,1525
133,대전,2016-10-16,16.9,15.2,710,20.3,1246
133,대전,2016-10-17,17.6,14.5,2356,23.2,1437
133,대전,2016-10-18,16.1,13,612,21.5,1606
133,대전,2016-10-19,17.2,12.8,620,23.6,1418
133,대전,2016-10-20,16.7,11.2,543,22.7,1404
133,대전,2016-10-21,16.8,15.7,2251,18.8,1417
133,대전,2016-10-22,17.5,14.3,559,22.1,1433
133,대전,2016-10-23,15,11.4,2236,17.9,1102
133,대전,2016-10-24,15.5,9.8,701,20.4,1451
133,대전,2016-10-25,14.7,12.3,2343,20,1419
133,대전,2016-10-26,13.4,10.8,429,16.8,1424
133,대전,2016-10-27,14.2,10.2,305,18,1430
133,대전,2016-10-28,13.5,11.1,2347,15.7,1
133,대전,2016-10-29,9.2,6.1,2351,13.5,1422
133,대전,2016-10-30,7.1,1.2,710,14.5,1504
133,대전,2016-10-31,7.8,4.9,1,10.4,1523
133,대전,2016-11-01,3.4,-.7,711,9.4,1456
133,대전,2016-11-02,5.1,-2.4,651,11.7,1454
133,대전,2016-11-03,8.1,3.7,709,14.8,1427
133,대전,2016-11-04,9.9,2.7,653,17.4,1328
133,대전,2016-11-05,13.3,8.7,301,19.2,1221
133,대전,2016-11-06,13.3,9.8,526,18.2,1359
133,대전,2016-11-07,14.3,10.8,647,18.8,1428
133,대전,2016-11-08,6.9,.9,2339,12.3,1
133,대전,2016-11-09,3.1,-3.1,638,9.8,1525
133,대전,2016-11-10,6.8,2.4,420,12,1312
133,대전,2016-11-11,9.3,5.8,2354,14.8,1426
133,대전,2016-11-12,9.7,2.7,658,18.6,1423
133,대전,2016-11-13,12.1,6.6,608,18.1,1459
133,대전,2016-11-14,15.3,9.5,724,21.9,1344
133,대전,2016-11-15,8.3,2.7,2351,14.6,1
133,대전,2016-11-16,5.7,-.5,645,12.9,1419
133,대전,2016-11-17,8.1,3.3,703,15.4,1516
133,대전,2016-11-18,9,3,706,13.8,1301
133,대전,2016-11-19,12.6,10.4,38,14.3,1519
133,대전,2016-11-20,11.5,6.7,2359,16.4,1354
133,대전,2016-11-21,8.7,5.5,336,11.6,1336
133,대전,2016-11-22,4.9,.7,2200,9.5,1
133,대전,2016-11-23,.8,-3.3,721,6.2,1418
133,대전,2016-11-24,-.2,-4.9,734,5.2,1443
133,대전,2016-11-25,1.4,-3.2,338,7.8,1349
133,대전,2016-11-26,.2,-2.9,531,3.3,1321
133,대전,2016-11-27,3,1,228,7.1,1501
133,대전,2016-11-28,2.8,-.4,2339,8.4,1454
133,대전,2016-11-29,1.9,-3.4,722,8.8,1442
133,대전,2016-11-30,5.5,-.7,3,11.5,1418
133,대전,2016-12-01,5.6,.1,2358,10.1,1228
133,대전,2016-12-02,1.8,-4.1,732,8.5,1544
133,대전,2016-12-03,3.2,-2.8,718,10.8,1426
133,대전,2016-12-04,4.1,-.2,705,8.8,1604
133,대전,2016-12-05,8.9,4.7,2359,14.2,1414
133,대전,2016-12-06,1.2,-2.6,2346,6.6,1439
133,대전,2016-12-07,2.2,-4.4,251,8.7,1535
133,대전,2016-12-08,4.1,-1.8,618,9.8,1306
133,대전,2016-12-09,4.1,-1,2357,7.9,1430
133,대전,2016-12-10,-.1,-4.4,745,6.4,1506
133,대전,2016-12-11,-.6,-6.2,744,6.9,1552
133,대전,2016-12-12,4.3,-3.2,147,11,1450
133,대전,2016-12-13,4.5,1,2356,9.6,1409
133,대전,2016-12-14,0,-2.9,719,2.7,1346
133,대전,2016-12-15,-1.4,-5.9,2350,3,1501
133,대전,2016-12-16,-2.4,-8.3,750,2.8,1521
133,대전,2016-12-17,4,-.3,614,10.5,1346
133,대전,2016-12-18,3.8,-1.8,625,9.5,1456
133,대전,2016-12-19,7.8,5.1,304,10.6,1526
133,대전,2016-12-20,8.2,4.3,2347,13.3,1545
133,대전,2016-12-21,8.2,1.8,702,12.6,1227
133,대전,2016-12-22,7.8,3.8,2351,14.8,307
133,대전,2016-12-23,.8,-1.3,2357,3.9,1
133,대전,2016-12-24,-1.1,-2.5,744,1.3,1302
133,대전,2016-12-25,1.3,-4.5,745,7.3,1525
133,대전,2016-12-26,3.1,2.3,1558,4.3,1128
133,대전,2016-12-27,.3,-5.1,2359,4,1303
133,대전,2016-12-28,-2.5,-7.5,742,4.1,1514
133,대전,2016-12-29,-2.3,-4.5,2353,1.4,1451
133,대전,2016-12-30,-1.8,-8.1,737,4.8,1458
133,대전,2016-12-31,1.4,-1.3,1,5.2,1431
133,대전,2017-01-01,3.5,-1.3,734,10.7,1442
133,대전,2017-01-02,4.7,-.4,424,10.8,1425
133,대전,2017-01-03,3.3,-1.5,756,9.2,1455
133,대전,2017-01-04,4.2,-.2,230,10.7,1528
133,대전,2017-01-05,4.3,-.7,507,9.3,1420
133,대전,2017-01-06,6.7,2.6,2354,12,1453
133,대전,2017-01-07,4.3,-1.5,742,9.2,1421
133,대전,2017-01-08,8.8,5,637,14.8,1458
133,대전,2017-01-09,4.3,-.9,2357,8,1358
133,대전,2017-01-10,-.5,-3.2,2358,4.2,1330
133,대전,2017-01-11,-3.1,-7.8,633,2.5,1309
133,대전,2017-01-12,-.3,-4,2358,5.7,1123
133,대전,2017-01-13,-3.7,-7.3,743,.5,1557
133,대전,2017-01-14,-6,-8.7,2400,-2.8,1403
133,대전,2017-01-15,-5.9,-11.8,734,1,1537
133,대전,2017-01-16,-3.9,-10.1,740,3.7,1457
133,대전,2017-01-17,-2.9,-8.6,515,4.3,1629
133,대전,2017-01-18,-.4,-4.7,742,4.1,1500
133,대전,2017-01-19,0,-3.7,424,5.9,1513
133,대전,2017-01-20,-2.3,-5.2,2226,-.5,1526
133,대전,2017-01-21,-2.7,-8.6,647,2.4,1432
133,대전,2017-01-22,-4.7,-7.8,2359,-.5,122
133,대전,2017-01-23,-6.5,-10,723,-1.4,1458
133,대전,2017-01-24,-5.2,-10.7,720,1.1,1530
133,대전,2017-01-25,-4.4,-10.6,819,2.3,1453
133,대전,2017-01-26,-1.1,-9.5,656,6.5,1445
133,대전,2017-01-27,.6,-4.3,2356,4.8,153
133,대전,2017-01-28,.1,-7.6,728,7.9,1457
133,대전,2017-01-29,2.8,.9,2356,5.4,1458
133,대전,2017-01-30,-2.4,-6.8,2153,.9,1
133,대전,2017-01-31,-4.2,-9,613,1.5,1426
133,대전,2017-02-01,-2.3,-6.6,354,3.8,1436
133,대전,2017-02-02,-1.6,-9,731,5.7,1525
133,대전,2017-02-03,2.1,-3.2,726,8.6,1502
133,대전,2017-02-04,2.9,-3.3,604,8.1,1417
133,대전,2017-02-05,3.2,1.2,2312,5.5,1147
133,대전,2017-02-06,0,-3.2,2310,4.8,1543
133,대전,2017-02-07,-.5,-4.7,808,5.8,1524
133,대전,2017-02-08,-.1,-4.1,737,4.2,1436
133,대전,2017-02-09,-2.9,-5.1,2310,.6,1330
133,대전,2017-02-10,-4.4,-6.9,734,-.3,1427
133,대전,2017-02-11,-2.9,-7.2,742,2.6,1533
133,대전,2017-02-12,-.3,-5.3,733,5.7,1516
133,대전,2017-02-13,.3,-5.8,648,6,1433
133,대전,2017-02-14,1.6,-2.8,753,8.1,1540
133,대전,2017-02-15,2.2,-5.4,711,10.8,1529
133,대전,2017-02-16,7.3,-3.4,726,15.5,1436
133,대전,2017-02-17,4.6,-2.7,2359,11.8,49
133,대전,2017-02-18,-1,-6.2,710,4.8,1541
133,대전,2017-02-19,3.1,-4.9,649,9.2,1349
133,대전,2017-02-20,1.3,-4.9,2346,7.2,502
133,대전,2017-02-21,.6,-6.9,713,9,1553
133,대전,2017-02-22,3,.2,24,4.1,1625
133,대전,2017-02-23,.5,-3,2358,5.3,1443
133,대전,2017-02-24,.6,-5.4,700,6.9,1511
133,대전,2017-02-25,3.5,-2.7,706,10,1424
133,대전,2017-02-26,4,-.8,719,10.5,1602
133,대전,2017-02-27,4.2,-2.5,726,12,1613
133,대전,2017-02-28,5.3,-2.7,652,14,1510
133,대전,2017-03-01,6.1,1,622,12.8,1445
133,대전,2017-03-02,3,-1,2354,8.3,1414
133,대전,2017-03-03,4.2,-3.6,652,12.5,1446
133,대전,2017-03-04,6.1,-1.2,623,15.1,1547
133,대전,2017-03-05,6.3,0,544,14.6,1548
133,대전,2017-03-06,1.8,-1.6,710,6.7,1312
133,대전,2017-03-07,-.2,-2.6,722,4,1454
133,대전,2017-03-08,1.4,-3.7,706,6,1540
133,대전,2017-03-09,4.7,-1.1,512,10.7,1624
133,대전,2017-03-10,5.9,-1.5,657,13.4,1526
133,대전,2017-03-11,7.4,-1.9,627,17.1,1522
133,대전,2017-03-12,8.9,.3,713,16.8,1437
133,대전,2017-03-13,8,2.7,705,13.8,1541
133,대전,2017-03-14,5.6,-.1,659,12,1424
133,대전,2017-03-15,5.9,-1.8,711,12.8,1457
133,대전,2017-03-16,6.3,-1.2,701,13.8,1513
133,대전,2017-03-17,7.6,-1.4,633,16.6,1558
133,대전,2017-03-18,8.8,2.9,652,18,1537
133,대전,2017-03-19,10,.7,559,19.2,1537
133,대전,2017-03-20,8.6,2.7,655,13.6,1215
133,대전,2017-03-21,8.4,4.9,2352,13,1350
133,대전,2017-03-22,7.6,0,640,14.6,1520
133,대전,2017-03-23,9.5,4,708,16.6,1500
133,대전,2017-03-24,9,1.7,640,15.6,1407
133,대전,2017-03-25,7.6,6.4,2348,9.9,1720
133,대전,2017-03-26,7.1,4.6,702,10.5,1553
133,대전,2017-03-27,6.4,3.5,248,11.1,1718
133,대전,2017-03-28,7.9,.9,650,14.2,1430
133,대전,2017-03-29,9.7,4.3,325,16.8,1434
133,대전,2017-03-30,11.2,2.1,702,19.5,1551
133,대전,2017-03-31,10,8,2359,14.6,1441
133,대전,2017-04-01,9.1,5.2,2357,13.6,1416
133,대전,2017-04-02,9.3,1.9,636,17.1,1535
133,대전,2017-04-03,12,3.6,633,21.3,1533
133,대전,2017-04-04,14.2,4.1,645,22.8,1348
133,대전,2017-04-05,12.8,10.7,712,14.2,2357
133,대전,2017-04-06,13.8,11.2,2346,16.7,1435
133,대전,2017-04-07,16.2,9.5,613,24.6,1624
133,대전,2017-04-08,16.7,10.2,619,24.6,1513
133,대전,2017-04-09,14.4,11.9,646,19.7,1132
133,대전,2017-04-10,15.1,9.4,634,21.4,1611
133,대전,2017-04-11,12.5,8.2,704,19.4,1447
133,대전,2017-04-12,12.1,5.7,633,18.4,1327
133,대전,2017-04-13,13.2,5.7,637,20.1,1435
133,대전,2017-04-14,16,10.5,444,20.9,1452
133,대전,2017-04-15,18.7,12.5,609,25.6,1504
133,대전,2017-04-16,19.9,10.6,631,28.6,1548
133,대전,2017-04-17,13.7,11.8,2251,18.9,1
133,대전,2017-04-18,13.8,10.3,2359,21.5,1329
133,대전,2017-04-19,13.4,7.2,538,20.4,1504
133,대전,2017-04-20,10.9,8.3,2400,14.1,1214
133,대전,2017-04-21,12.8,5.8,445,19.9,1538
133,대전,2017-04-22,14.6,8.6,545,21.1,1556
133,대전,2017-04-23,15,6.5,607,23,1555
133,대전,2017-04-24,15.2,6.3,549,23.6,1450
133,대전,2017-04-25,17,10,537,22.7,1348
133,대전,2017-04-26,15.6,10.1,2358,21.6,1502
133,대전,2017-04-27,13.8,6.7,526,20.5,1410
133,대전,2017-04-28,15.5,8.6,533,23.8,1454
133,대전,2017-04-29,18,9.7,619,25.2,1404
133,대전,2017-04-30,20.6,15.2,630,27.7,1509
133,대전,2017-05-01,20.4,12.9,515,28.7,1620
133,대전,2017-05-02,20,12.1,534,27.5,1652
133,대전,2017-05-03,21.1,11.8,550,29.6,1526
133,대전,2017-05-04,21.4,14.1,542,28.4,1409
133,대전,2017-05-05,21.7,17.9,557,28.2,1403
133,대전,2017-05-06,16.5,10.8,539,23.5,1432
133,대전,2017-05-07,18.1,11.8,430,25.8,1517
133,대전,2017-05-08,18.2,12.1,537,22.9,1240
133,대전,2017-05-09,15.7,12.2,749,20.3,1401
133,대전,2017-05-10,15.6,13.8,2301,18.7,1437
133,대전,2017-05-11,18.7,12.6,519,26.2,1603
133,대전,2017-05-12,19.8,15.9,154,23.9,1323
133,대전,2017-05-13,18.3,13.8,530,25.3,1452
133,대전,2017-05-14,16.6,12.1,345,23,1548
133,대전,2017-05-15,16.7,11.1,527,23.1,1429
133,대전,2017-05-16,16.8,11.5,422,22.6,1351
133,대전,2017-05-17,18.7,10.5,530,26.1,1630
133,대전,2017-05-18,20.3,11.9,551,27.8,1546
133,대전,2017-05-19,21.4,13.1,545,29.9,1544
133,대전,2017-05-20,20.7,12.5,525,29.2,1521
133,대전,2017-05-21,21.4,14.3,555,29.1,1609
133,대전,2017-05-22,21.7,13.3,552,29.4,1526
133,대전,2017-05-23,21.1,15.1,532,26.7,1349
133,대전,2017-05-24,20.8,17,448,26.7,1636
133,대전,2017-05-25,19.7,14,545,27,1337
133,대전,2017-05-26,17.2,11.2,549,22.8,1457
133,대전,2017-05-27,19.3,11.9,532,26.3,1704
133,대전,2017-05-28,21.4,12.8,527,29,1409
133,대전,2017-05-29,24.1,19.5,447,30.7,1433
133,대전,2017-05-30,23.5,17.1,540,30,1624
133,대전,2017-05-31,22,17.2,533,28.4,1245
133,대전,2017-06-01,22,17,2333,26.9,1526
133,대전,2017-06-02,20.3,13,533,27.4,1539
133,대전,2017-06-03,20.4,16.1,542,26.1,1535
133,대전,2017-06-04,20.8,12,541,28.4,1550
133,대전,2017-06-05,22.6,13.9,525,29.8,1544
133,대전,2017-06-06,18.3,15.7,1905,22.5,1248
133,대전,2017-06-07,17.9,16,2333,19.7,1458
133,대전,2017-06-08,20.1,15.6,545,26.4,1503
133,대전,2017-06-09,22,16.2,413,27.9,1446
133,대전,2017-06-10,22.6,19.9,2357,26.6,1404
133,대전,2017-06-11,22.8,15.9,556,29.6,1507
133,대전,2017-06-12,22.1,16.7,529,27.4,1502
